Código de reporte / ticket,Fecha de reporte,Módulo,Plataforma,Version,Sistema operativo,Dispositivo utilizado,Versión de navegador / app,Tipo de incidencia,Prioridad,Título,Descripción,Pasos para reproducir,Sugerencia,Evidencia,Reporter,Estatus de resolución - Desarrollador,Desarrollador que coloca el estatus,Fecha de resolucion,Version de la solucion,Estatus de resolución - Tester,Tester que coloca el estatus,Fecha de revision
EDEN-64,7/11/2022,Arcas,Mobile,0.0.2,Android 11,,N/A,Error,ALTA,Error en el campo de contraseña de la creacion de arcas (Credenciales)  llave bancaria,"El error ocurre cuando se deja el campo de contraseña vacio , el cual no deberia estarlo y tambien a nivel de diseño se encuentra un helpper que la app no lo cumple","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de arcas (Credenciales).
4.Colocar el nombre de la entidad bancaria.
5.Colocar el numero de telefono .
6.Colocar correo.
7.Coolocar contraseña.",,EVIDENCIA 64,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-65,7/11/2022,Arcas,Mobile,0.0.2,Android 11,,N/A,Error,BAJA,Error en el enunciado de agregar seres queridos de el flujo de creacion de arcas  (Credenciales)  llave bancaria,El color del elemento o el enunciado es de color naranja en el figma y en el app esta azul,"1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de arcas (Credenciales).
4.Colocar el nombre de la entidad bancaria.
5.Colocar el numero de telefono .
6.Colocar correo.
7.Coolocar contraseña.
8.Colocar correo electronico.
9.Colocar la informacion adicional.
10.Compartir llaves.
11.Seleccionar la opcion de seres queridos.
",,EVIDENCIA 65,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-66,7/11/2022,Arcas,Mobile,0.0.2,Android 11,,N/A,Error,ALTA,Error en el modulo de compartir llaves de en el flujo de creacion de arcas  (Credenciales)  llave bancaria,"El error ocurre cuando ya luego de cargar toda la informacion e ir al flujo de compartir llaves y no seleccionar a nigun usuario o ser querido y darle a la opcion de guardar , la app se queda procesando la informacion y no respponde.","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de arcas (Credenciales).
4.Colocar el nombre de la entidad bancaria.
5.Colocar el numero de telefono .
6.Colocar correo.
7.Coolocar contraseña.
8.Colocar correo electronico.
9.Colocar la informacion adicional.
10.Compartir llaves.
11.No seleccionar ningun usuario y hacer click en el boton de guardar.",,EVIDENCIA 66,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-67,7/11/2022,Arcas,Mobile,0.0.2,Android 11,,N/A,Error,ALTA,Error en el modulo de compartir llaves de en el flujo de creacion de arcas  (Credenciales)  llave bancaria,"El error ocurre cuando selecciono la cantidad de usuario con lo que quiero compartir mi llaves y le  se oprime el boton de aceptar, al momento que pasa al siguiente flujo para ver tus seres queridos a los cuales seleccionaste y quieres seleccionar otro y oprimes el boton de agregar seres queridos , busca al usuario y lo seleccionas y le das aceptar , los demas que ya tenias en la lista para enviar , desaparecen y queda solomente el que acabas de seleccionar , lo cual no debe pasar ya que si el usuario ya selecciono varios usuarios y desea seleccionar otros mas los mismo deben verse reflejados.","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de arcas (Credenciales).
4.Colocar el nombre de la entidad bancaria.
5.Colocar el numero de telefono .
6.Colocar correo.
7.Coolocar contraseña.
8.Colocar correo electronico.
9.Colocar la informacion adicional.
10.Compartir llaves.
11.Seleccionar a los usuario que quieras , luego vuelves a buscar a otro ser querido y no aparecen los demas.",,EVIDENCIA 67,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-68,7/11/2022,Arcas,Mobile,0.0.2,Android 11,,N/A,Error,ALTA,Error en el modulo de datos de la cuenta bancaria en el flujo de creacion de arcas  (Credenciales)  llave bancaria,El error ocurre cuando se coloca un numero en el campo de entidad bancaria el cual claramente se le indica al cliente que ese modulo no soporta este caracter,"1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de arcas (Credenciales).
4.Colocar el nombre de la entidad bancaria.",,EVIDENCIA 68,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-69,7/11/2022,Arcas,Mobile,0.0.2,Android 11,,N/A,Error,ALTA,Error en el modulo de datos de la cuenta bancaria en el flujo de creacion de arcas  (Credenciales)  llave bancaria,El error ocurre cuando se colocan caracteres especiales en el campo de entidad bancaria el cual claramente se le indica al cliente que ese modulo no soporta estos caracteres,"1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de arcas (Credenciales).
4.Colocar el nombre de la entidad bancaria.",,EVIDENCIA 69,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-70,7/11/2022,Arcas,Mobile,0.0.2,Android 11,,N/A,Error,ALTA,Error en el modulo de datos de la cuenta bancaria en el flujo de creacion de arcas  (Credenciales)  llave bancaria,"El error ocurre cuando se colocan caracteres de mas de lo requerido por la app en este modulo , sobre pasa los 30 caracteres","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de arcas (Credenciales).
4.Colocar el nombre de la entidad bancaria.",,EVIDENCIA 70,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-71,7/11/2022,Arcas,Mobile,0.0.2,Android 11,,N/A,Error,ALTA,Error en el modulo compartir llaves  en el flujo de creacion de arcas  (Credenciales)  llave bancaria,"El error ocurre cuando se carga toda la informacion solicita , se selecciona a los seres queridos y se le da a enviar la app no hace nada y nunca envia la llave.","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de arcas (Credenciales).
4.Colocar el nombre de la entidad bancaria.
5.Colocar el numero de telefono .
6.Colocar correo.
7.Coolocar contraseña.
8.Colocar correo electronico.
9.Colocar la informacion adicional.
10.Compartir llaves.",,EVIDENCIA 71,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-72,7/11/2022,Arcas,Mobile,0.0.2,Android 11,,N/A,Error,MEDIA,Error al no tener los pop up al momento de ir para atras con informacion ya cargada,El ocurre cuando cargamos informacion y queremos devolvernos y el sistema no brinda ninguna venta de que si estamos seguros de continuar con esta accion,"1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de arcas (Credenciales).
4.Colocar el nombre de la entidad bancaria.
5.Colocar el numero de telefono .
6.Colocar correo.
7.Coolocar contraseña.
8.Colocar correo electronico.
9.Colocar la informacion adicional.
10.Ir para atras en todos los modulo ya cargados.",,EVIDENCIA 72,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-73,7/11/2022,Key,Mobile,0.0.2,Android 11,,N/A,Error,ALTA,Error en el flujo de key al no poder ver las llaves asignasdas,"El error ocurre cuando se va a la opcion de key , para poder visualizar las llaves que hemos recibido , el mismo siempre se queda cargando y nunca responde","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de Key.",,EVIDENCIA 73,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
EDEN-74,7/11/2022,Arcas,Mobile,0.0.2,Android 11,,N/A,Error,ALTA,Error en el modulo de nombre de la plataforma digital en el flujo de creacion de arcas   (Credenciales)  semilla criptografica,"El error ocurre cuando el campo acepta espacios en blanco como si fuera informacion , la cual  no puede ser permitido","1.Tener la app descargada
2.Ingresar con usuario y contraseña
3.Ubicar la opcion de arcas (Credenciales).
4.Seleccione la opcion de semilla criptograficas.
5.Colocar el nombre de la plataforma .",,EVIDENCIA 74,Victor Moreno,Corregido,Hector Z,,,SOLUCIONADO,Victor Moreno,
